,Date,Status,X,Y,Z,Source,Time,SessionTime
11595,2022-03-20 14:51:21.740,OnTrack,-353,1877,-158,pos,0 days 00:50:21.723000,0 days 00:50:21.723000
11596,2022-03-20 14:51:21.920,OnTrack,-353,1877,-158,pos,0 days 00:50:21.903000,0 days 00:50:21.903000
11597,2022-03-20 14:51:22.320,OnTrack,-353,1877,-158,pos,0 days 00:50:22.303000,0 days 00:50:22.303000
11598,2022-03-20 14:51:22.681,OnTrack,-353,1877,-158,pos,0 days 00:50:22.664000,0 days 00:50:22.664000
11599,2022-03-20 14:51:22.981,OnTrack,-353,1877,-158,pos,0 days 00:50:22.964000,0 days 00:50:22.964000
11600,2022-03-20 14:51:23.221,OnTrack,-353,1877,-158,pos,0 days 00:50:23.204000,0 days 00:50:23.204000
11601,2022-03-20 14:51:23.441,OnTrack,-353,1877,-158,pos,0 days 00:50:23.424000,0 days 00:50:23.424000
11602,2022-03-20 14:51:23.701,OnTrack,-353,1877,-158,pos,0 days 00:50:23.684000,0 days 00:50:23.684000
11603,2022-03-20 14:51:24.001,OnTrack,-353,1877,-158,pos,0 days 00:50:23.984000,0 days 00:50:23.984000
11604,2022-03-20 14:51:24.421,OnTrack,-353,1877,-158,pos,0 days 00:50:24.404000,0 days 00:50:24.404000
11605,2022-03-20 14:51:24.681,OnTrack,-353,1877,-158,pos,0 days 00:50:24.664000,0 days 00:50:24.664000
11606,2022-03-20 14:51:25.021,OnTrack,-353,1877,-158,pos,0 days 00:50:25.004000,0 days 00:50:25.004000
11607,2022-03-20 14:51:25.281,OnTrack,-353,1877,-158,pos,0 days 00:50:25.264000,0 days 00:50:25.264000
11608,2022-03-20 14:51:25.521,OnTrack,-353,1877,-158,pos,0 days 00:50:25.504000,0 days 00:50:25.504000
11609,2022-03-20 14:51:25.681,OnTrack,-353,1877,-158,pos,0 days 00:50:25.664000,0 days 00:50:25.664000
11610,2022-03-20 14:51:26.121,OnTrack,-353,1877,-158,pos,0 days 00:50:26.104000,0 days 00:50:26.104000
11611,2022-03-20 14:51:26.281,OnTrack,-353,1877,-158,pos,0 days 00:50:26.264000,0 days 00:50:26.264000
11612,2022-03-20 14:51:26.521,OnTrack,-353,1877,-158,pos,0 days 00:50:26.504000,0 days 00:50:26.504000
11613,2022-03-20 14:51:26.721,OnTrack,-353,1877,-158,pos,0 days 00:50:26.704000,0 days 00:50:26.704000
11614,2022-03-20 14:51:27.041,OnTrack,-353,1877,-158,pos,0 days 00:50:27.024000,0 days 00:50:27.024000
11615,2022-03-20 14:51:27.281,OnTrack,-353,1877,-158,pos,0 days 00:50:27.264000,0 days 00:50:27.264000
11616,2022-03-20 14:51:27.600,OnTrack,-353,1877,-158,pos,0 days 00:50:27.583000,0 days 00:50:27.583000
11617,2022-03-20 14:51:27.760,OnTrack,-353,1877,-158,pos,0 days 00:50:27.743000,0 days 00:50:27.743000
11618,2022-03-20 14:51:28.040,OnTrack,-353,1877,-158,pos,0 days 00:50:28.023000,0 days 00:50:28.023000
